iter	Passed	Remaining
0	48	4838
1	50	2461
2	51	1667
3	53	1274
4	54	1033
5	55	870
6	56	754
7	57	666
8	58	595
9	59	539
10	60	491
11	61	452
12	62	418
13	63	389
14	63	362
15	64	338
16	64	317
17	65	298
18	66	281
19	66	265
20	66	251
21	67	238
22	67	226
23	67	215
24	68	204
25	68	195
26	69	186
27	69	178
28	69	171
29	70	163
30	70	157
31	73	157
32	74	150
33	74	145
34	75	139
35	75	134
36	75	129
37	76	124
38	76	119
39	77	115
40	77	111
41	77	107
42	78	103
43	78	100
44	79	96
45	79	93
46	79	90
47	80	87
48	80	84
49	81	81
50	81	78
51	81	75
52	82	73
53	82	70
54	83	68
55	83	65
56	83	63
57	84	61
58	84	58
59	85	56
60	85	54
61	85	52
62	86	50
63	86	48
64	87	46
65	87	45
66	87	43
67	88	41
68	88	39
69	89	38
70	89	36
71	92	35
72	92	34
73	93	32
74	93	31
75	93	29
76	94	28
77	94	26
78	94	25
79	95	23
80	95	22
81	96	21
82	96	19
83	96	18
84	97	17
85	97	15
86	98	14
87	98	13
88	99	12
89	99	11
90	99	9
91	100	8
92	100	7
93	101	6
94	101	5
95	101	4
96	102	3
97	102	2
98	103	1
99	103	0
